no,parkingPlaceName,maxParking,avilableParking,dateAndTime,temperature
9,동대문공영주차장,1092,860,2020-11-02 14,14
10,마포유수지주차장,505,206,2020-11-02 14,14
11,복정역공영주차장,363,14,2020-11-02 14,14
12,사당노외,184,57,2020-11-02 14,14
13,서린노외주차장,38,11,2020-11-02 14,14
14,세종로,1260,744,2020-11-02 14,14
15,수락산역,157,8,2020-11-02 14,14
16,수서역남,18,1,2020-11-02 14,14
17,수서역북주차장,553,81,2020-11-02 14,14
18,신대방역,60,8,2020-11-02 14,14
19,신방화역,199,46,2020-11-02 14,14
20,신천유수지주차장,164,50,2020-11-02 14,14
21,영등포구청역,137,34,2020-11-02 14,14
22,용산주차빌딩,561,69,2020-11-02 14,14
23,잠실역주차장,346,87,2020-11-02 14,14
24,적선노외,11,-18,2020-11-02 14,14
25,종묘,1317,125,2020-11-02 14,14
26,천왕역,328,5,2020-11-02 14,14
27,천호역,1432,59,2020-11-02 14,14
28,학여울역,180,49,2020-11-02 14,14
29,한강진역,176,29,2020-11-02 14,14
30,화랑대역주차장,319,5,2020-11-02 14,14
31,훈련원공원,873,131,2020-11-02 14,14
1,DDP동측(양쪽),20,20,2020-11-02 15,15
2,웃우물공영,79,21,2020-11-02 15,15
3,가양라이품,38,1,2020-11-02 15,15
4,개화산역주차장,322,29,2020-11-02 15,15
5,개화역,483,81,2020-11-02 15,15
6,구로디지털단지역,92,41,2020-11-02 15,15
7,구파발역,399,78,2020-11-02 15,15
8,장안2동,80,38,2020-11-02 15,15
9,동대문공영주차장,1092,884,2020-11-02 15,15
10,마포유수지주차장,505,225,2020-11-02 15,15
11,복정역공영주차장,363,12,2020-11-02 15,15
12,사당노외,184,60,2020-11-02 15,15
13,서린노외주차장,38,7,2020-11-02 15,15
14,세종로,1260,742,2020-11-02 15,15
15,수락산역,157,6,2020-11-02 15,15
16,수서역남,18,0,2020-11-02 15,15
17,수서역북주차장,553,77,2020-11-02 15,15
18,신대방역,60,0,2020-11-02 15,15
19,신방화역,199,48,2020-11-02 15,15
20,신천유수지주차장,164,48,2020-11-02 15,15
21,영등포구청역,137,32,2020-11-02 15,15
22,용산주차빌딩,561,72,2020-11-02 15,15
23,잠실역주차장,346,93,2020-11-02 15,15
24,적선노외,11,-17,2020-11-02 15,15
25,종묘,1317,129,2020-11-02 15,15
26,천왕역,328,4,2020-11-02 15,15
27,천호역,1432,71,2020-11-02 15,15
28,학여울역,180,48,2020-11-02 15,15
29,한강진역,176,37,2020-11-02 15,15
30,화랑대역주차장,319,0,2020-11-02 15,15
31,훈련원공원,873,156,2020-11-02 15,15
1,DDP동측(양쪽),20,20,2020-11-02 16,14
2,웃우물공영,79,23,2020-11-02 16,14
3,가양라이품,38,1,2020-11-02 16,14
4,개화산역주차장,322,28,2020-11-02 16,14
5,개화역,483,87,2020-11-02 16,14
6,구로디지털단지역,92,44,2020-11-02 16,14
7,구파발역,399,85,2020-11-02 16,14
8,장안2동,80,41,2020-11-02 16,14
9,동대문공영주차장,1092,899,2020-11-02 16,14
10,마포유수지주차장,505,217,2020-11-02 16,14
11,복정역공영주차장,363,21,2020-11-02 16,14
12,사당노외,184,60,2020-11-02 16,14
13,서린노외주차장,38,13,2020-11-02 16,14
14,세종로,1260,754,2020-11-02 16,14
15,수락산역,157,7,2020-11-02 16,14
16,수서역남,18,1,2020-11-02 16,14
17,수서역북주차장,553,85,2020-11-02 16,14
18,신대방역,60,0,2020-11-02 16,14
19,신방화역,199,45,2020-11-02 16,14
20,신천유수지주차장,164,53,2020-11-02 16,14
21,영등포구청역,137,34,2020-11-02 16,14
22,용산주차빌딩,561,76,2020-11-02 16,14
23,잠실역주차장,346,101,2020-11-02 16,14
24,적선노외,11,-19,2020-11-02 16,14
25,종묘,1317,143,2020-11-02 16,14
26,천왕역,328,1,2020-11-02 16,14
27,천호역,1432,78,2020-11-02 16,14
28,학여울역,180,52,2020-11-02 16,14
29,한강진역,176,44,2020-11-02 16,14
30,화랑대역주차장,319,1,2020-11-02 16,14
31,훈련원공원,873,166,2020-11-02 16,14
1,DDP동측(양쪽),20,20,2020-11-02 17,13
2,웃우물공영,79,25,2020-11-02 17,13
3,가양라이품,38,2,2020-11-02 17,13
4,개화산역주차장,322,33,2020-11-02 17,13
